time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
5.284,-0.006731990983364467,-0.1740382440356245,-0.1671923152387967,0.09231835872908205,0.0782605025389858,-0.17058306865995965,0.04599203738091899,-0.059152287156621644,0.1123993879941491,0.14333598193336725,0.14258564744861676,-0.4574357598158307
5.286,-0.013349760599408907,-0.1701171096460175,-0.15653497742929137,0.09317767677341321,0.06993375821188606,-0.16321156694759467,0.057416030581287164,-0.04903130290949561,0.12594361434098764,0.1517793048173727,0.1523837672427684,-0.4622481773607626
5.288,-0.024072443923985908,-0.17078057055694099,-0.14652780123710524,0.09864869229799406,0.0597756889594148,-0.15847027488507878,0.06443036840960936,-0.043183873060264506,0.13532433421907544,0.15623484382729363,0.15806988316580986,-0.4713285161327439
5.29,-0.03338041360583945,-0.1749955273028837,-0.14137577138336635,0.10538888536096834,0.052641940982136405,-0.1579982514898855,0.05981325185455431,-0.04504769203747189,0.13701699143287477,0.1589219158683305,0.15630739253424533,-0.48476503849764896
5.292,-0.03956421320136029,-0.18245004029600367,-0.14253229170115786,0.11224544068305549,0.0503614835809473,-0.16265408279536064,0.05058712665807715,-0.05228805223052054,0.1349558984895952,0.16387668761200191,0.154053871380607,-0.4959183323830873
5.294,-0.045588566390723895,-0.19388405384245985,-0.14802540343643306,0.12109668188232856,0.05038663486556653,-0.1719850066717804,0.04972062221907215,-0.05669497777749114,0.13461573600238447,0.17074497137941852,0.15930937349019514,-0.4946129187264732
5.296,-0.051710919856389426,-0.20622448308687927,-0.1544947500898228,0.13019251181250818,0.050692094054395655,-0.18219403375199192,0.06068227864315202,-0.05096411038942754,0.13701683054346778,0.17705497364195164,0.1722809457923442,-0.47803497166728043
5.298,-0.053571230079042284,-0.2107648161738457,-0.15732605456578808,0.13271591571676794,0.051095201060969014,-0.18584179593975422,0.07453235914313243,-0.03751657369327348,0.14124849568521963,0.18439258669706068,0.1874510639989853,-0.45546802772660766
5.3,-0.04857614988695455,-0.2010212721309842,-0.15252622372265826,0.1247117891708221,0.05102675811827445,-0.17796884045241113,0.07923999916337936,-0.027694602351329208,0.1480232346555533,0.19592572768338648,0.20003532482291747,-0.4417504195915992
5.302,-0.038232874847520346,-0.18257187128720112,-0.14430867638738462,0.11050304243806092,0.052082363702391804,-0.16433110359735567,0.07139305304910991,-0.02840238514843778,0.15601745116917565,0.20988206865637649,0.2087551371336335,-0.4431990740092937
5.304,-0.025113591062259803,-0.16923730909172785,-0.1440650916047892,0.09810832938198664,0.058686409020896675,-0.15751405552774086,0.05949170073509319,-0.03325653587207274,0.1600870400597622,0.22095346424337825,0.2150111405034914,-0.45037062372488984
5.306,-0.01380746947550826,-0.1682019286255296,-0.15436067707822776,0.09249110587865318,0.06947293407102169,-0.16186478984743963,0.052847558566494375,-0.03259430771867651,0.15835421001606115,0.2265896369655265,0.22083202024915538,-0.44866025176341157
5.308,-0.01114591721476146,-0.17470037035664923,-0.16344932417234248,0.09412635185203952,0.0749893376963389,-0.16942498432515501,0.04894127967210822,-0.02667325459614507,0.15572500642879883,0.22895457313313108,0.22744270255491372,-0.4327383833225651
5.31,-0.01942006948505065,-0.1812046779213392,-0.161498097548354,0.10089228434696168,0.06958934714237609,-0.17230839471629383,0.03812674239653393,-0.021941506415720707,0.1576661170263091,0.23181129628052835,0.23514268687968543,-0.4077878692926796
5.312,-0.03328153937019318,-0.185779560660676,-0.1522015202578164,0.11016980843314206,0.058282827829493185,-0.17127881571230114,0.018950890946696986,-0.020963481406942902,0.1641788989175937,0.23682767826260734,0.24331878371932075,-0.38171209446338206
5.314,-0.04510566614353376,-0.1908166350977498,-0.14577001328196965,0.11943340364933852,0.04978758067785216,-0.1715500707643624,0.00016169590966658116,-0.02200967897532108,0.17012237596136573,0.24313003642340666,0.25074628280768263,-0.3593200082105001
5.316,-0.050001289812604544,-0.19771079364407024,-0.14815449629113142,0.12593204990176726,0.048840570750937735,-0.17610445764392915,-0.012140459434465185,-0.022947216617099656,0.1712073715517067,0.2500540890108549,0.25701545318737296,-0.341816896665939
5.318,-0.047935254456561244,-0.20549895522006462,-0.1579704713002073,0.12868776429378312,0.054580822194604126,-0.18419230944652842,-0.0215171666305864,-0.022494805969735222,0.16919804697966326,0.25852926454315517,0.26338286103645164,-0.329265376022039
5.32,-0.04326528562282009,-0.21325721083942553,-0.1700119161213472,0.12989223271945746,0.06258327991172767,-0.19357252106869677,-0.03464408065951112,-0.02069611968989431,0.16894050526395074,0.26926471398326424,0.2716105629130076,-0.32176666909511986
5.322,-0.03943445856168759,-0.2195311418740597,-0.17977257205457656,0.1307487772521652,0.06905902864327279,-0.20148331461954885,-0.05273578984898514,-0.01839263784991506,0.17288873280676803,0.28250568649378266,0.2831034501392558,-0.3175805944407385
5.324,-0.03507124045615455,-0.2202375975277649,-0.18471649417325642,0.12834333952132138,0.0733842692529555,-0.20416880880821295,-0.07196095834721782,-0.015215961585111496,0.181136258961817,0.2993013616659313,0.29888076088958637,-0.31244688653604474
5.326,-0.02804682250678225,-0.21341312858517017,-0.18498680175556353,0.1209833476186535,0.07672257055837357,-0.2004612256603751,-0.09103391242407882,-0.009855630345480655,0.192355140469667,0.31850366744844666,0.3174915742315648,-0.3036229809012465
5.328,-0.01956368239114376,-0.20477599438265964,-0.18504391427243752,0.11281357335886942,0.08096516955694401,-0.19585873551568592,-0.1127347684314829,-0.003242717050374204,0.20228416768919288,0.3344098687641748,0.33384707443115597,-0.2931889159551837
5.33,-0.010392695939125162,-0.2016091639821579,-0.1912606290694351,0.10773895989990213,0.089188650590682,-0.1977212877933333,-0.13525852255366402,0.0007996933302919163,0.2058392996521481,0.3422029802548253,0.3430897306451884,-0.2851815412116537
5.332,0.0020884914755419917,-0.20337794444601945,-0.20557367677384208,0.1030822958782479,0.10325634642010252,-0.2066749899563547,-0.14984969541069867,-0.00035217840832852147,0.20324471516283613,0.34325179643665105,0.34466516483632503,-0.28118853733470767
5.334,0.018510240438593343,-0.20420828670718025,-0.22275324663660695,0.09470801163429529,0.11996968062491759,-0.21649423672729828,-0.15269978364356185,-0.005184167059454967,0.2011146287766648,0.3427608142716764,0.3424123252742138,-0.2801887429539461
5.336,0.03388173026130357,-0.20164728480337296,-0.23549029571066757,0.08437127591221262,0.13315997493835754,-0.22173279740960272,-0.1520813476989846,-0.010349785104322372,0.20542709872273285,0.3456545681066535,0.3426830781627053,-0.2803130581821661
5.338,0.04307668818229731,-0.19826608629662454,-0.24130543911674682,0.0774163831173801,0.1401096370092146,-0.2224850756869537,-0.1579542451583561,-0.013418756212356414,0.2148747300311263,0.3559421387809805,0.3516008189804218,-0.27833542110392956
5.34,0.04637427672140284,-0.19696855965991159,-0.2433457459299375,0.07599014217133954,0.14315689744707105,-0.22215080613009203,-0.17144777128879496,-0.013324845709769401,0.22242942721130213,0.3753283423580117,0.3708105946485332,-0.2700900566468298
5.342,0.04808222892462701,-0.1981404067934056,-0.24626619008828599,0.07725536730437156,0.14607914937285638,-0.22354816877667738,-0.18826404368745886,-0.01149580376816053,0.22386278431860304,0.39884745869518173,0.39391036606493424,-0.255339657053516
5.344,0.05209284728179315,-0.19891009895743506,-0.25114299659444755,0.07619632394997572,0.15046950690114297,-0.22605674490652222,-0.2043524441798591,-0.010560667702457395,0.2243556848990157,0.41675024344882966,0.4110948730854978,-0.239731188860663
5.346,0.058974885683562316,-0.19301973928598343,-0.2523144392813441,0.06898023749322806,0.15384126773369777,-0.22376685495566387,-0.21682848229220586,-0.009784830015789902,0.2328001552160233,0.4258512301855065,0.42085059312630696,-0.2287532903149727
5.348,0.06630589709050214,-0.1761431078705809,-0.24286321788910048,0.05590126283195495,0.15217691297715105,-0.21061398188714844,-0.22551573285961332,-0.0067463473113792,0.2486006846055021,0.4332074896115912,0.43057837825737694,-0.2226278823598538
5.35,0.07206350139012654,-0.15421374714252445,-0.22653293060859384,0.042016248821101394,0.14679424497055235,-0.19126019857912938,-0.23289638895104872,-0.003581085514767876,0.26086667047860007,0.4435730186263782,0.442958627812198,-0.21830196547017247
5.352,0.07686652634530415,-0.14087934936691868,-0.2177248487491254,0.033479526023869055,0.14527534206636247,-0.18034116700305233,-0.24063412495560327,-0.005179465292233456,0.26243472091240866,0.4512656898111748,0.4513132176134948,-0.21371229026346777
5.354,0.08128579812686024,-0.14381002132406098,-0.22495216478782198,0.033142341386545766,0.1520013666514391,-0.18628584221382316,-0.2481358433877477,-0.012007655256225153,0.25786419725460297,0.4501029678172695,0.45066333092929534,-0.21032553670977053
5.356,0.08269119206184829,-0.15839576048475004,-0.241022224254828,0.03996186205852801,0.16167381669048242,-0.20243994428721704,-0.2547135464478748,-0.01968581438929001,0.25567929775154946,0.4433292795984103,0.4442724904680904,-0.2117920778668171
5.358,0.07712134130613464,-0.1757631629162758,-0.2529287427863525,0.05147014237767591,0.16530515338083393,-0.21691237125096685,-0.26153129880772197,-0.024827796423674924,0.25847276588079415,0.4382639335960279,0.43784899631498075,-0.21822353365285638
5.36,0.06371436227314298,-0.19135059783307318,-0.2551213004784613,0.06560651143007845,0.15953780062802397,-0.2247667271534426,-0.2702174162266907,-0.02760612514319517,0.26363526320482417,0.43725577685919326,0.4334999253175517,-0.22384311876334403
5.362,0.04758738779315421,-0.2030730363550565,-0.2506635802095886,0.07891215889523667,0.14879330095044618,-0.22762095778099833,-0.2791966853080498,-0.027890723784721495,0.26996139954483783,0.43846504436134154,0.43119282832205935,-0.222582290005075
5.364,0.038107125405603466,-0.20568417118643165,-0.24376220855384534,0.08448526919909467,0.1402773978501015,-0.22565978405115697,-0.2830206073890392,-0.022265622912122144,0.2790197693876919,0.4416151841994306,0.43291205202401906,-0.21396052888696943
5.366,0.04082587276276056,-0.1935278973914727,-0.23431621650283468,0.07697791991041303,0.13697485459898515,-0.21542514604625776,-0.27751291345062523,-0.008280310290048769,0.2909911581011781,0.44791695800086145,0.44075101091693947,-0.20303201269618845
5.368,0.05067639576579536,-0.16980063282188537,-0.22035410992471435,0.06048055162745978,0.1352757932097149,-0.19665147738349134,-0.2645800388077349,0.010364670469950307,0.30299748435398055,0.4549813598274288,0.45083997824516575,-0.1954303152770982
5.37,0.055625921114454996,-0.14989192896431927,-0.2052029560054608,0.04820110344769146,0.1302691847245977,-0.17868701729772252,-0.24998911325397005,0.026263396060763177,0.3107409810309088,0.4560207648161126,0.45390894270860976,-0.19273476705258777
5.372,0.04756700102445644,-0.15148912605925435,-0.1986129824226602,0.05261512465583203,0.12237182933228483,-0.175784243002927,-0.23776907800892672,0.0340530582546402,0.3107848596208785,0.4455718400727995,0.4433373822108218,-0.19440106270329505
5.374,0.029536908249864106,-0.17815739368845102,-0.2073012800381605,0.07454760377274555,0.11688684689936381,-0.19327629010500397,-0.2279394306027009,0.03226490834918514,0.30570977871530913,0.42461259973821197,0.4213720829155907,-0.20189485532287016
5.376,0.01072626738845728,-0.21482255851042678,-0.2252433715396999,0.10279640289422132,0.11620578995366017,-0.22058986729320246,-0.21768741819234386,0.02512604966994492,0.30581512551388096,0.3998922054866878,0.39756142476722534,-0.21578320905391807
5.378,-0.0040264746492800815,-0.2398279470002421,-0.23552625686183457,0.12400372103664985,0.11452306158918467,-0.23867927044489434,-0.20382124461673765,0.025125005899101497,0.31862137346425645,0.37980594304482684,0.38163542697191577,-0.23114539916922064
5.38,-0.013257167740923064,-0.23866170874287865,-0.22519306129406474,0.12907395421746617,0.10542934072066203,-0.23373280750432332,-0.18602050062834774,0.044279058689997146,0.3383635939317013,0.370165152110904,0.3769399630175695,-0.24136036916767453
5.382,-0.01193541077708472,-0.2120941861952586,-0.20002940360455346,0.1150098577842929,0.093407086581888,-0.20827794018602513,-0.16825019625763477,0.07792596037220935,0.3522906575451613,0.3701457097548829,0.3783134418868078,-0.2453825489898474
5.384,0.0026840155576909664,-0.17657085267025024,-0.17914684354686813,0.08889960171510757,0.08925441483886318,-0.17965784209195157,-0.15562989944895134,0.10710869865903153,0.3562736208615192,0.37156813724335636,0.37644891359321914,-0.2480421971013505
5.386,0.021144882587301544,-0.15148244657522708,-0.1725703857009803,0.0662574120009602,0.09410694561231768,-0.16300111002647516,-0.15079262435111804,0.12123240884850868,0.35926871364085045,0.36540427019121013,0.3665120169853443,-0.2537265313523935
5.388,0.028091875247017686,-0.1433856772448665,-0.17149706978024062,0.05870195779654862,0.09675634964963466,-0.1579199669879205,-0.15382203684511891,0.1286792265520714,0.3722025005707858,0.3505562223932022,0.35206017436097053,-0.26182646754093564
5.39,0.018516795450415294,-0.14534779669264017,-0.16377790306703785,0.0648401183272124,0.08878593603345347,-0.15538795400652503,-0.16289243511434837,0.14172852113834694,0.3952968173470416,0.33447361681378,0.3397702254399591,-0.26891649369253373
5.392,0.0021128756019095068,-0.1504171898528218,-0.15221673581328976,0.07586226098265508,0.0760118857166517,-0.1531818159353247,-0.1745758777836694,0.16034726692491102,0.4169686667190847,0.32332885388965193,0.3315581524216104,-0.273909316678953
5.394,-0.007746628197348773,-0.16033111743690592,-0.15226313557984963,0.08608220877763921,0.07208542053984211,-0.15907337779001338,-0.18529287012994566,0.17538714711123077,0.424819297508915,0.3142203437519222,0.3228175467703494,-0.27916880042454045
5.396,-0.00445577719071307,-0.1781882360675765,-0.17366271335329048,0.09364016528881827,0.08446766942662635,-0.1787998407827281,-0.1918660684000941,0.18191037934087145,0.4179589901785833,0.30104501800033606,0.308439746527464,-0.2868546943859156
5.398,0.010433415540554587,-0.19784819839765175,-0.20841464152214956,0.09561283885015456,0.108517374284243,-0.20527631817255138,-0.19210405556445592,0.18456416235577497,0.4074212487669622,0.28481402739825723,0.289648334248147,-0.2953646606148162
5.4,0.02937138423982426,-0.2076160127667113,-0.2370960914827937,0.08991712350240305,0.13183826753163866,-0.2234224720467047,-0.18754289718627715,0.19052836182912847,0.40328681446885634,0.272608734062375,0.27340507766419225,-0.29957688534138
5.402,0.04032162915445925,-0.20263251218582004,-0.24293693900157654,0.0812204831502598,0.14064123451749488,-0.2232277932131317,-0.18322172049752256,0.2009121641629955,0.40433122682342837,0.26869732442552136,0.26547365232589604,-0.29568697753550066
5.404,0.03213011518274472,-0.1884472137617694,-0.22053199631247783,0.07867412131895044,0.12583085028575183,-0.2053495427468834,-0.18211990727162433,0.2113775794682752,0.4035335925530803,0.27041637114667383,0.2649743069347487,-0.2867344696863054
5.406,0.005820185617047812,-0.17354360687627815,-0.1794719970833953,0.08537115321799428,0.09169923305160593,-0.17828142795668342,-0.18199201275302765,0.2177187655498061,0.39936247418450266,0.27055595843307606,0.2645666517923825,-0.2825572706308502
5.408,-0.022338749196021614,-0.1623140854471782,-0.14032826555109779,0.0942681097114596,0.05698474680292733,-0.15340509904375435,-0.1787076497327694,0.21836057541234002,0.39536962903375356,0.2623416249807079,0.2562041139684861,-0.29305110412223623
5.41,-0.03584949463870648,-0.15546173887373452,-0.1200596376210016,0.09741868297473377,0.03962016664783137,-0.1394677985742629,-0.16991696335322148,0.21500597664606252,0.3920647296010444,0.2444326797058563,0.23875293014890106,-0.31906975479801214
5.412,-0.03350324322657422,-0.15356553691334596,-0.12031577096614061,0.09528946665475539,0.041496942548087355,-0.1382190959998208,-0.15550484534032577,0.21193063035154933,0.386578330916159,0.222428355996431,0.21954977556129973,-0.3491824026272189
